Date,Open,High,Low,Close,AdjClose,Volume
02-07-2013,443.437897,443.836395,436.99704,439.507629,439.507629,3797180
03-07-2013,438.307129,442.924805,437.609741,441.559937,441.559937,2101849
05-07-2013,443.343231,446.033173,442.013214,445.076752,445.076752,3416558
08-07-2013,447.926056,451.442871,446.865051,450.855072,450.855072,3953764
09-07-2013,453.799042,454.770416,447.313354,450.92981,450.92981,3973639
10-07-2013,450.038147,453.868774,448.508881,451.303406,451.303406,3429607
11-07-2013,454.795319,458.68573,452.56369,458.401794,458.401794,5187772
12-07-2013,458.282257,459.776642,455.911133,459.776642,459.776642,5155652
15-07-2013,460.424225,462.267303,456.469055,460.6185,460.6185,3935697
16-07-2013,461.833923,462.25235,455.243622,458.087982,458.087982,3980866
17-07-2013,458.780365,461.699432,456.439148,457.559967,457.559967,3023490
18-07-2013,457.779144,458.282257,449.90863,453.639648,453.639648,7296246
19-07-2013,441.649597,449.789093,436.170135,446.625946,446.625946,14773769
22-07-2013,449.315857,454.63092,446.825195,453.649597,453.649597,5828164
23-07-2013,453.649597,454.795319,448.105377,450.212494,450.212494,4106736
24-07-2013,451.936035,453.450348,448.668274,449.76416,449.76416,4172581
25-07-2013,445.266022,446.750458,441.38559,442.192566,442.192566,6024698
26-07-2013,441.838867,443.333282,439.35321,441.021942,441.021942,3568727
29-07-2013,440.797791,445.739258,438.800262,439.487701,439.487701,3797983
30-07-2013,441.076721,446.132782,438.790314,443.796539,443.796539,3524361
31-07-2013,444.827667,446.581116,441.435394,442.217468,442.217468,4363294
01-08-2013,445.828918,450.58609,445.828918,450.421722,450.421722,4292830
02-08-2013,450.033173,451.806519,448.728058,451.592316,451.592316,3440648
05-08-2013,451.004517,451.069275,447.921082,450.810242,450.810242,2629218
06-08-2013,450.655823,453.156464,446.192566,446.610992,446.610992,3023490
07-08-2013,445.848846,447.547485,442.884949,443.662048,443.662048,2768739
08-08-2013,446.072998,446.247345,440.992065,444.6633,444.6633,2987155
09-08-2013,443.617218,446.087952,443.338257,443.54248,443.54248,2657323
12-08-2013,441.794037,441.843872,439.178864,441.101654,441.101654,2764323
13-08-2013,441.759186,442.591064,436.46402,438.979584,438.979584,2850244
14-08-2013,437.544983,438.471497,431.960907,433.280945,433.280945,4180009
15-08-2013,430.605988,430.845093,427.39801,428.224915,428.224915,3752412
16-08-2013,429.031891,429.609711,426.670746,426.855042,426.855042,3362757
19-08-2013,427.25354,434.371857,427.124023,431.20871,431.20871,3635375
20-08-2013,432.55368,434.426666,430.157654,431.094147,431.094147,2475243
21-08-2013,433.699402,436.817688,431.632141,433.04184,433.04184,3527774
22-08-2013,434.720551,435.74173,433.500122,435.223663,435.223663,1746321
23-08-2013,437.27597,437.360657,433.251068,433.480225,433.480225,2162274
26-08-2013,433.37561,435.816467,431.40799,431.577332,431.577332,2112890
27-08-2013,428.204987,430.252319,422.366852,423.487671,423.487671,3481200
28-08-2013,423.537476,426.107849,422.302094,422.690643,422.690643,2669770
29-08-2013,422.949677,428.583557,422.710571,426.117798,426.117798,2968084
30-08-2013,426.282196,427.417938,421.201233,421.868744,421.868744,3737155
03-09-2013,425.584808,431.477722,425.380554,428.583557,428.583557,4110550
04-09-2013,428.568634,435.11908,425.988281,434.187561,434.187561,4097702
05-09-2013,435.11908,438.29715,434.177582,438.137756,438.137756,2592280
06-09-2013,439.572388,440.239868,435.238617,438.147705,438.147705,3134907
09-09-2013,440.214966,443.213715,439.562408,442.366913,442.366913,2478455
10-09-2013,443.348236,444.334534,440.349457,442.675751,442.675751,2584852
11-09-2013,442.610992,446.810242,441.38559,446.421692,446.421692,3233274
12-09-2013,447.024445,447.273499,443.343231,444.862549,444.862549,2199212
13-09-2013,445.579865,446.167664,440.767883,442.875,442.875,2660736
16-09-2013,446.426697,446.825195,440.782837,442.222443,442.222443,2683019
17-09-2013,442.048096,442.536255,438.855072,441.400513,441.400513,2528241
18-09-2013,441.520081,450.29718,439.8862,449.973389,449.973389,3883903
19-09-2013,451.303406,451.303406,446.028168,447.517609,447.517609,3207779
20-09-2013,447.517609,450.376892,446.137756,449.868774,449.868774,8723175
23-09-2013,446.401764,449.111633,440.947235,441.594788,441.594788,3568124
24-09-2013,441.594788,443.388062,439.054321,441.76416,441.76416,2984746
25-09-2013,441.61969,441.61969,436.165161,436.977112,436.977112,3310362
26-09-2013,437.510101,439.726807,435.866272,437.445343,437.445343,2529245
27-09-2013,435.776611,437.121552,434.028168,436.558685,436.558685,2527037
30-09-2013,432.917328,438.77536,432.533752,436.31958,436.31958,3457712
01-10-2013,438.481476,442.177612,438.381836,441.843872,441.843872,3382230
02-10-2013,439.716827,443.01944,437.270996,442.337006,442.337006,3001810
03-10-2013,442.34198,445.380615,434.421692,436.409241,436.409241,4249870
04-10-2013,435.866272,437.116577,433.37561,434.546204,434.546204,2726180
07-10-2013,432.105377,435.363159,430.441589,431.253571,431.253571,2596897
08-10-2013,431.044342,431.373108,424.224915,425.241089,425.241089,3901971
09-10-2013,426.541229,429.714325,419.916046,426.332001,426.332001,5322475
10-10-2013,430.307098,432.792786,428.498871,432.498901,432.498901,4527507
11-10-2013,431.39801,435.1091,431.034363,434.366882,434.366882,2828362
14-10-2013,431.711853,436.488922,431.079224,436.419189,436.419189,2496523
15-10-2013,436.244843,441.161407,435.368134,439.358185,439.358185,3195734
16-10-2013,441.280975,447.487701,440.354431,447.338257,447.338257,4030250
17-10-2013,444.827667,446.775391,441.211243,442.735504,442.735504,8545110
